  PID TTY           TIME CMD
 5553 ??         0:06.79 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
 5554 ??         0:01.57 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
 5585 ??         0:01.06 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
 5617 ??         0:13.95 /Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
 5652 ??         0:00.27 /usr/sbin/ocspd
 5666 ??         0:00.06 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.single
 5746 ??         0:03.29 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
 5748 ??         0:05.42 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
 5753 ??         0:04.83 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
 5766 ??         0:02.81 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
 5776 ??         3:13.98 /Applications/Xcode.app/Contents/MacOS/Xcode
 5838 ??         0:01.41 /Applications/Xcode.app/Contents/Developer/Library/Xcode/Tools/XcodeDeviceMonitor --bonjour 88B14776-0813-44FA-AD30-464AEC07AD7B
 5860 ??         0:00.00 (clang)
 5953 ??         0:00.17 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
 5956 ??         0:00.03 /usr/libexec/nsurlstoraged
 5957 ??         0:01.22 /usr/libexec/sandboxd -n PluginProcess -n 
 5958 ??         0:00.10 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
 5959 ??         0:01.38 /System/Library/PrivateFrameworks/MessagesKit.framework/Resources/soagent.app/Contents/MacOS/soagent
 5960 ??         0:00.66 /usr/libexec/coreduetd
 5961 ??         0:00.05 /usr/libexec/secinitd
 5963 ??         0:00.03 /System/Library/PrivateFrameworks/DataDetectorsCore.framework/Versions/A/XPCServices/DataDetectorsDynamicData.xpc/Contents/MacOS/DataDetectorsDynamicData
 5965 ??         0:00.05 /System/Library/CoreServices/lsuseractivityd
 5966 ??         0:00.16 /System/Library/PrivateFrameworks/GameCenterFoundation.framework/Versions/A/gamed
 5967 ??         0:00.18 /usr/libexec/nsurlstoraged
 5968 ??         0:00.01 /usr/libexec/networkd_privileged
 5969 ??         0:00.13 com.apple.CoreSimulator.CoreSimulatorService
 5970 ??         0:00.04 /usr/sbin/cfprefsd daemon
 5971 ??         0:00.04 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
 5974 ??         0:00.04 /usr/libexec/systemstatsd
 5983 ??         0:00.09 /usr/libexec/amfid
 5984 ??         0:00.01 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
 6044 ??         0:00.02 /System/Library/PrivateFrameworks/PerformanceAnalysis.framework/XPCServices/com.apple.PerformanceAnalysis.animationperfd.xpc/Contents/MacOS/com.apple.PerformanceAnalysis.animationperfd
 6045 ??         0:00.08 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
 6046 ??         0:00.04 /System/Library/CoreServices/pbs
 6048 ??         0:00.04 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
 6049 ??         0:00.15 /System/Library/PrivateFrameworks/AOSKit.framework/Versions/A/XPCServices/com.apple.iCloudHelper.xpc/Contents/MacOS/com.apple.iCloudHelper
 6094 ??         0:00.25 /Users/Lai/Documents/touch_plus_source_code/build/daemon_plus
 6095 ??         0:00.04 /Applications/Xcode.app/Contents/SharedFrameworks/LLDB.framework/Resources/debugserver --native-regs --setsid --reverse-connect 127.0.0.1:56499
 6097 ??         0:00.00 sleep 60
 6098 ??         0:00.01 sh -c ps -e > /Users/Lai/Documents/touch_plus_source_code/build/processes.txt
 6099 ??         0:00.00 ps -e
 5699 ttys000    0:00.03 login -pf Lai
 5700 ttys000    0:00.01 -bash
